width,height,loadLatency,streamBandwidth,estimatedBandwidth,decodedFrames,droppedFrames,bufferingTime,playTime,pauseTime,manifestTimeSeconds,corruptedFrames,rtt,rto
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,117,0,0,4,2,0,0,14,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,125,0,0,4,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
